,Altruism,Autonomy,Care for others,Competence,Courage,Duty,Empathy,Fairness,Gratitude,Honesty,Indignation,Justice,Love,Loyalty,Generosity,Nobility,Obey rule,Zeal,Respect,Dedication,Sanctity,Self-improvement,Self-control,Social contribution,Temperance,Warmth,Encouragement,Honor,Benefit others materially,Benefit others physically,Benefit others spiritually,Moral Flexibility,Deserved Reward,Gratification,Moral Imperative,Pro-environment,Self-discipline,Self-Identification,Uphold order,Moral Urgency
Express gratitude for help,78.61538462,72.64705882,72.30769231,60.38461538,39.4,59.6,78.61538462,47.8,75.69230769,59.23076923,24,62.76923077,68.9,61.84615385,56.07692308,73.30769231,60.9,70.30769231,66.07692308,53.92307692,57.6,47.9,36.4,63.92307692,45.8,78.46153846,82.92307692,65.15384615,53.30769231,59.84615385,78.69230769,61.69230769,58.53846154,79.23076923,48.15384615,57.07692308,60.61538462,71.53846154,61.15384615,48.92307692
Maintain a humble demeanor,35.2,71.58823529,41.66666667,43.93333333,31.83333333,34.41666667,54.4,34.25,36.93333333,54.26666667,37.66666667,43.13333333,35.25,34.73333333,37.2,38.8,40.91666667,46.33333333,42.73333333,36.13333333,26.58333333,58.16666667,40,41.86666667,45.5,38.46666667,63.4,47.66666667,39.6,35.33333333,46.13333333,41.2,37.26666667,51,34.53333333,35.53333333,55,42.53333333,31.26666667,27.86666667
Treat others with humor,40.55555556,77.58823529,45.44444444,48.11111111,24.86666667,28,50.27777778,29.33333333,45.27777778,40.33333333,28.94444444,39.55555556,33.66666667,36.38888889,30.77777778,43.94444444,34.53333333,53.88888889,42.55555556,43.5,26.86666667,29.66666667,34.46666667,29.38888889,34,55.22222222,54.66666667,46,37.27777778,26.38888889,52.27777778,54.72222222,39.16666667,65.66666667,31.61111111,36.38888889,41.94444444,52.61111111,37.33333333,31.83333333
Keep to time,51.05882353,66.17647059,55.29411765,53.76470588,44.625,70.375,66.82352941,54.25,54.64705882,75.35294118,43.70588235,53.47058824,49.25,57.29411765,48.64705882,58.64705882,61.75,47.05882353,51.41176471,49.52941176,43.0625,62.6875,77.4375,50.23529412,67.6875,55.17647059,67.94117647,58.70588235,54.29411765,45.47058824,56.82352941,48.52941176,47.82352941,55.64705882,49.64705882,44.23529412,76.88235294,67.23529412,66.29411765,43.29411765
Understand unspoken feelings,64.9375,67.29411765,74,41,35.3125,42.5,85.1875,52.9375,71.3125,48.5625,30.75,52.8125,53.25,41.625,49.4375,59.375,44,64.5,62.5625,50.3125,40.4375,45.875,43,56.6875,48.875,80.6875,69,53.8125,47.3125,44.3125,84.375,62.8125,41.4375,64.5625,43.4375,43.5625,37.6875,52.6875,50.875,35.75
Devote oneself willingly,76.21052632,79.94117647,70.57894737,68.26315789,59.26666667,61,61.47368421,44,80.26315789,43.31578947,28.31578947,58.68421053,72.2,62.94736842,66.36842105,86.68421053,53.66666667,72,64.42105263,83.05263158,53.33333333,50.93333333,47.93333333,77.73684211,42.46666667,81.94736842,83.05263158,73.47368421,57.78947368,60.36842105,71.31578947,55.52631579,53.05263158,66.42105263,47.78947368,31.36842105,62.84210526,79.68421053,50.31578947,42.84210526
Bravely stop thief,74.58823529,66.05882353,73,77.76470588,92.84615385,47.15384615,62,58,74.88235294,53.52941176,89,87.76470588,45.69230769,53.17647059,42.41176471,79.94117647,55.15384615,64,55.47058824,76.17647059,52.15384615,30.30769231,47.38461538,81.58823529,41.46153846,71.88235294,81.88235294,83.82352941,52.76470588,69.05882353,63.05882353,56.82352941,85.35294118,72.94117647,68,31.52941176,52.11764706,83.41176471,81.47058824,80.23529412
Business integrity,52.05263158,72.70588235,43.78947368,50.84210526,51.66666667,69.2,65.84210526,60.93333333,50.47368421,93.52631579,41,62.68421053,52.46666667,54.94736842,54.21052632,49.63157895,64.46666667,56.15789474,48.52631579,44.10526316,48.73333333,64.4,67.13333333,50.26315789,58.86666667,54.73684211,73.36842105,58.73684211,56.68421053,48.42105263,53.31578947,48.63157895,49.10526316,54.10526316,41.15789474,46.47368421,51.10526316,65.68421053,63.57894737,30.94736842
Respect public property,63.63157895,71.58823529,48.47368421,57.57894737,45.4,76.6,67.68421053,53.8,56.36842105,62.57894737,45.42105263,63.57894737,60.2,55.52631579,52.94736842,57.21052632,83.8,65.94736842,70.63157895,58.94736842,52.2,33.66666667,71.6,68.47368421,73.46666667,62,81.42105263,64.94736842,50.94736842,44.47368421,51.10526316,52.73684211,61.10526316,64.05263158,40.94736842,62.57894737,71.05263158,64.63157895,74.31578947,42.52631579
Show concern for sick friend,64.11764706,72.29411765,89.47058824,50.64705882,37.13333333,60.6,79.29411765,36.4,70.35294118,49,35.17647059,55,80.8,46.82352941,54.94117647,53.17647059,43.8,59.94117647,60.70588235,62.23529412,39,36.66666667,40.2,48.41176471,34.33333333,81.70588235,74.17647059,57.17647059,46.35294118,64.23529412,78,50.94117647,49.23529412,58,43.05882353,43.64705882,46.17647059,62.41176471,43.47058824,59.70588235
Celebrate others' success,62.84210526,70.17647059,75.57894737,52.15789474,38.26315789,42.57894737,80.89473684,43.15789474,62.68421053,47.89473684,40.94736842,53.68421053,69.31578947,49.63157895,50.94736842,58.68421053,52.21052632,76,67.47368421,55.36842105,39.84210526,44.36842105,48.78947368,49.36842105,42.57894737,84.26315789,64.73684211,55,50.63157895,56.52631579,87.73684211,54.36842105,46.57894737,90.36842105,45.89473684,49.36842105,50.89473684,70.26315789,51.26315789,47.42105263
Charity,85.16666667,65.17647059,77.61111111,67.83333333,38.15384615,41.23076923,69.44444444,49.46153846,75.55555556,58.77777778,47.38888889,82.38888889,75,53.16666667,71.44444444,81.94444444,47.15384615,80.33333333,66.83333333,82.5,62.69230769,36.46153846,39.23076923,80.38888889,37.53846154,80.5,82.5,85,75,70.33333333,63.94444444,51.66666667,59.83333333,72.05555556,45.88888889,67.44444444,62.5,76.38888889,59.22222222,42.11111111
Cheer up deflated friends,65.93333333,79.94117647,76.33333333,58.93333333,56.13333333,61.06666667,75.26666667,52.6,67.06666667,62,38.33333333,53.26666667,65.2,53.66666667,44.66666667,55,62.73333333,57.06666667,59.53333333,57.66666667,59.4,57.93333333,55.66666667,48.2,53.53333333,80.6,59,59.4,54.46666667,51.93333333,78.66666667,68.33333333,58.4,69.33333333,53.2,40.26666667,53.2,58.53333333,55.93333333,56.13333333
Communicate effectively,44.41176471,66.47058824,67.94117647,61,37.07142857,33.5,65.76470588,38.28571429,52.70588235,34.82352941,27.82352941,36.11764706,47.14285714,36.41176471,26,45.47058824,35.35714286,66.05882353,46.11764706,47.82352941,31.85714286,65.57142857,46.78571429,48.64705882,32.21428571,73.94117647,61.41176471,40.47058824,41.76470588,42,59.76470588,69.58823529,28.17647059,66.35294118,37.29411765,31.41176471,36.88235294,58.58823529,49.17647059,38.23529412
Compete fairly,57.16666667,65,46.22222222,57.27777778,61.26666667,65.4,59.88888889,93,46.33333333,70.27777778,36.44444444,77.83333333,42.2,50.5,35.83333333,53.27777778,66.73333333,43.11111111,53.83333333,45.16666667,58.13333333,60.73333333,55.53333333,64.27777778,59.8,51.5,81.94444444,40.77777778,46.11111111,38.44444444,56.55555556,50.83333333,32.38888889,52.11111111,55.83333333,39.38888889,55.27777778,59.5,79.66666667,44.33333333
Consider others' feelings,69.23529412,66.23529412,81.47058824,51.29411765,42.53333333,57.93333333,87.82352941,60.26666667,68,48.41176471,47.76470588,54.11764706,57.73333333,50.41176471,47.17647059,54.23529412,47.4,48.82352941,69.29411765,49.94117647,40.73333333,55.46666667,56.26666667,53.47058824,50.86666667,80.52941176,68.94117647,50.35294118,53.17647059,51.41176471,78.41176471,52.94117647,37.88235294,49.82352941,42.76470588,39.76470588,42.88235294,60.94117647,46.05882353,42.64705882
Cooperate with teammates,66.9375,68.76470588,66.4375,69.8125,37.375,61.1875,78.4375,53.9375,66.3125,64.125,46.375,60.3125,61.5625,64.25,57.875,62.75,61.6875,65.5625,64.75,64.75,39.75,56.4375,55.3125,65.6875,39.125,77,74.4375,69.0625,60.5625,57.6875,70.75,62.375,58.5,71.8125,50,49.125,59.875,72.5,70.25,46.875
Dedicate oneself to work,69.75,56.64705882,53.375,90,57.5,51.5,49.75,27.9375,62.25,41.125,29.8125,47.625,65.5,74.5,48.0625,75.4375,50.25,73.9375,49.125,77.125,38.25,49.875,32.3125,87.6875,34.75,54.1875,71.4375,87.6875,43.6875,64.625,65.4375,27.3125,55.375,50.9375,49.875,30.8125,42.375,78.5625,42.875,32.6875
Defeat enemies bravely,54.375,65.64705882,37.8125,69.5625,85.2,59.6,32.5,29.6,63.3125,30.75,56,63.625,52.66666667,56.5,34.625,66.9375,28.93333333,50.125,35.375,77.8125,37.93333333,34.73333333,27,80.3125,34.93333333,43.625,62.5,80.4375,36.4375,54.75,45.375,31.8125,70.0625,38.75,62.9375,24.75,21.1875,52.5625,42.125,76.9375
Defend borders,71.05263158,61.23529412,54.52631579,74.47368421,68.33333333,87.66666667,65.15789474,69.2,73.47368421,46.10526316,51.84210526,81.89473684,81.93333333,89.68421053,59.78947368,86.52631579,89.53333333,66.05263158,70.68421053,77.36842105,70.73333333,54.53333333,51.6,87.63157895,46.93333333,64.47368421,90.57894737,85.10526316,67.26315789,66.31578947,62.10526316,49.15789474,69.05263158,77.89473684,46.52631579,71.73684211,68.63157895,75.68421053,73.26315789,72.15789474
Do good without expecting a reward,47.1,36.9,60.3,46.3,20.4,33.8,56.7,41.9,81.3,34,21.4,33.6,60.2,32.7,59.9,77.8,50.7,55.8,40.2,57.1,43.1,32,36.5,66.2,29,79.5,85.5,60.8,58.7,36.6,67.6,43.6,41.9,58,19.4,23,26.1,66.3,31.3,16.5
Donate generously,83.38461538,69.47058824,72.92307692,51.61538462,34.22222222,31.55555556,69.07692308,35.77777778,86.30769231,68,46.30769231,75.84615385,63.22222222,71.23076923,83.38461538,85.30769231,48.44444444,76.76923077,67.69230769,82,32.55555556,33.22222222,32.11111111,82.30769231,26.55555556,86.30769231,85.84615385,77.84615385,92,62.15384615,68.61538462,61,63.07692308,80.30769231,52.30769231,68.07692308,61.46153846,73.61538462,49.46153846,44.69230769
Embrace diversity,58.33333333,50.41176471,58.88888889,58.33333333,34.86666667,45.66666667,68.83333333,56.8,57.05555556,51.33333333,42.55555556,59.22222222,44.6,45.5,49.33333333,57.44444444,43.33333333,63.22222222,65.5,52.11111111,39.06666667,51.53333333,46.13333333,59.5,42.86666667,67.88888889,74.33333333,58.77777778,46.55555556,55.77777778,68.44444444,72.16666667,55.38888889,60.88888889,45.83333333,58.55555556,50.27777778,67.11111111,56.44444444,44.88888889
Put yourself in their shoes,60.94444444,54.05882353,70.27777778,61.66666667,43.66666667,49.13333333,79.94444444,57.86666667,56.27777778,62.88888889,48.66666667,59.33333333,61.86666667,45.77777778,45.55555556,62.5,52.86666667,61.5,60.55555556,60.66666667,49.13333333,53.6,55.8,59.38888889,53.46666667,72.88888889,65.72222222,48.72222222,55.33333333,52.5,79.38888889,72,49.11111111,54.77777778,48.38888889,53.33333333,54.77777778,60.66666667,60,46.61111111
Enforce law impartially,62.85,74.94117647,44.8,63.9,54.33333333,83.38888889,55.45,82.61111111,60.3,67.05,54.5,87,52.83333333,72.65,40.85,75.05,87.33333333,44.85,53.65,65.8,43.05555556,47.44444444,54.33333333,82.05,51.94444444,44.55,83.05,77.8,54.95,49.8,48.85,43.45,60.85,52.9,79.95,35.05,70.05,69.75,88.85,55.25
Enjoy the beauty of nature,34.14285714,66.23529412,36.95238095,43.52380952,27.94117647,33.35294118,44.57142857,36.29411765,37,38.04761905,35.14285714,35.23809524,46.29411765,37.42857143,40.95238095,39.23809524,40.29411765,60.42857143,47.14285714,42.85714286,45.29411765,41.76470588,37.29411765,33.61904762,30.17647059,42.71428571,59.71428571,38.9047619,34.52380952,37.52380952,39.52380952,51.95238095,35.38095238,71.9047619,33.85714286,81.9047619,42,49.47619048,38.38095238,35.19047619
Explore unknown eagerly,42.625,73.47058824,45.625,66.75,63.4,45.66666667,58.1875,34.26666667,45.4375,41.8125,36.5,47.3125,44.66666667,42.1875,53.4375,50.1875,34.73333333,77.125,49.3125,57.8125,37.13333333,72.46666667,37.13333333,52.5625,31.73333333,53.8125,60.625,53.5,38.5625,35.4375,46.5625,72.375,47.6875,77.875,45.25,57.25,49.375,69.25,48.875,39.625
Fulfill one's duties,65.625,69.47058824,53.75,75.25,52.41666667,80.75,66.3125,51.66666667,64.5,79.6875,44.4375,73.9375,59.91666667,81.5,42.0625,82.0625,82.33333333,64.1875,71.9375,78.8125,61.33333333,68.75,72.91666667,78.5625,64.83333333,64.25,82.4375,80.875,54.25,61.625,65.5625,43.9375,68.4375,65.375,57,36.9375,78.9375,81.9375,79.625,52.1875
Give directions,80.25,65.11764706,71.6,48.35,44.10526316,44.26315789,68.8,38.21052632,77.9,56.05,35.3,59.8,52.52631579,47.7,37.05,63.5,45.84210526,64.7,56,48.85,39,35.10526316,38.42105263,61.2,38.21052632,72.3,69.55,59.9,48.7,59.05,69.15,48.05,47.6,68.7,36.85,44.85,39.75,65,51.1,54.55
Greet politely,52.10526316,74.94117647,65.31578947,41.36842105,31.35714286,31.28571429,76.26315789,31.5,46.57894737,34.05263158,30.47368421,38.52631579,57.85714286,28.57894737,22.15789474,38.21052632,49.28571429,53.73684211,63.73684211,34.47368421,40.78571429,30.21428571,50.21428571,40.05263158,42.21428571,72.68421053,64.63157895,44.52631579,23.52631579,34.78947368,69.31578947,46.94736842,20.78947368,64.63157895,24.52631579,35.47368421,47.63157895,58.10526316,46.31578947,26.89473684
Help elderly cross street,75.4375,70,78.0625,50.0625,57.08333333,36.08333333,68.375,45.5,78.125,45.9375,27.1875,61.1875,63.08333333,33.5,31.8125,46.5625,56,60.8125,62.25,46.75,33,30,34.58333333,51.375,38.5,76,73.5,64.875,49.5,59.625,59.625,52.875,33,70,37.8125,30.9375,34.5625,72.1875,58.0625,60.8125
Help others willingly,77.61111111,66.05882353,82.77777778,59.44444444,53.47058824,42.52941176,74.44444444,50.82352941,81.38888889,54.61111111,43.11111111,72.22222222,62.82352941,58.94444444,62.83333333,77.77777778,52.88235294,76.83333333,56.38888889,65.05555556,52.29411765,41.29411765,46.70588235,65.55555556,42.47058824,77.44444444,78.38888889,67.77777778,53.61111111,65.44444444,73.38888889,59.05555556,63.77777778,70.11111111,43.44444444,41.38888889,52.55555556,80.72222222,51.77777778,60.5
Innovation,78.78571429,60.41176471,65.92857143,85.57142857,43.16666667,53.5,69.21428571,27.41666667,71.78571429,74.07142857,51.57142857,65.92857143,40.5,77.85714286,82.78571429,83.64285714,47.5,81,80.85714286,79.85714286,33.5,71.41666667,42.16666667,84.35714286,37,64.28571429,85.85714286,84.42857143,68.07142857,61.78571429,71.28571429,79.71428571,75,81.28571429,67.85714286,58.71428571,73.64285714,88.78571429,65.92857143,77.57142857
Keep promises,65.8125,74,63,58.4375,42.18181818,75,72.0625,54,57.8125,86.5625,42.875,57.0625,37.45454545,67.75,54.75,59.75,61.45454545,54.1875,64,51.375,51.18181818,54.63636364,66.72727273,55.125,63.36363636,64.6875,77.875,63.3125,58.125,51,67.6875,48.4375,49.3125,66.0625,55.6875,40.0625,65.9375,71.625,64.6875,41
Keep quiet in library,63.63157895,70.88235294,65.63157895,42.57894737,25.375,59.875,77.78947368,43.5625,53.84210526,41.21052632,38.94736842,55,37.8125,34.26315789,34.26315789,42.05263158,66.625,43.26315789,57,33.42105263,26.8125,47.1875,62.75,52.15789474,73.625,56.10526316,70.78947368,39.68421053,33.84210526,33.47368421,61.05263158,42.63157895,31.94736842,46.68421053,45.73684211,44.26315789,67.05263158,56.31578947,75,41
Lead teams effectively,57.6875,50.41176471,58,81.0625,30.42857143,48.57142857,68.875,42.14285714,55.5625,58.25,36.8125,59.5625,35,56.9375,41.5625,49.25,35.57142857,64.25,59.125,65.5,20.5,60.42857143,38.35714286,58.6875,33.85714286,52.5625,61.875,63.3125,46.5625,47.1875,65.6875,80.5625,56.25,59.625,63.9375,34,57.8125,68.9375,61.625,53.375
Learn from history,52.25,68.58823529,37.6875,56.8125,28.64285714,41.21428571,42.9375,38.57142857,48.5,49.625,53.5625,54.5625,18.92857143,54.75,49.125,62.4375,49.92857143,50.5,59.5,46.125,24,44.64285714,28.71428571,57.125,48.5,46.25,66.625,54.4375,45.1875,50.6875,59.5625,59.25,51.4375,55.4375,51.5625,51.0625,60.25,51.6875,47.5625,54.5
Listen attentively,43.875,55.29411765,63.9375,48.125,23.73333333,31.2,71.9375,40.46666667,40.3125,52.125,37,39.6875,52.26666667,46.5,40.6875,44.375,50.66666667,56.125,59.75,47.4375,30.2,47.46666667,52.73333333,44.875,52.33333333,60.8125,60.125,42.8125,47.625,44.0625,62.0625,48.5625,39.25,47.3125,44,39.6875,53.9375,54.1875,52.8125,40.3125
Listen to suggestions actively,52.64705882,69.17647059,54.05882353,40.35294118,29.4375,43.5625,63.94117647,32.25,52.29411765,45.88235294,36,52.82352941,36.375,40.94117647,33.11764706,44.94117647,49.75,48.94117647,48.05882353,47.82352941,37.625,39.3125,43,39.11764706,44.25,48.70588235,55.58823529,45.58823529,39.47058824,42.47058824,54.41176471,60.29411765,41.88235294,43.35294118,49.11764706,42.88235294,45.58823529,48.47058824,39.17647059,37.11764706
Look after elderly parent,64.47368421,73.47058824,90.10526316,64.21052632,41.11764706,85.05882353,84.68421053,55.82352941,74.26315789,62.52631579,36.78947368,70,78.52941176,65.05263158,64.57894737,77.10526316,78.94117647,70.63157895,70.78947368,76.89473684,55.47058824,64,54.29411765,54,49.23529412,81.31578947,84.57894737,65.21052632,53.47368421,63.42105263,78.89473684,67.42105263,58.84210526,69.84210526,49.42105263,49.42105263,72.52631579,75.42105263,70.89473684,57.68421053
Love one's country,44.1875,61.94117647,49.875,54.4375,54.30769231,83.38461538,62.4375,47.15384615,49.875,48.9375,37.1875,60.4375,85.84615385,84.875,40.4375,82.25,82.76923077,76.1875,67.125,61.1875,69.15384615,56.76923077,64.07692308,70.75,56.76923077,56.5,88.625,74.3125,53.625,42.125,48.5625,38,37.5,62.75,40.3125,44.25,49.9375,68.6875,61.1875,40.1875
Obey rule and regulation,58.76470588,77.58823529,49.11764706,64.70588235,44,89.15789474,56.94117647,60.10526316,55.17647059,78.82352941,46.52941176,80.35294118,51.21052632,77.23529412,37.64705882,60.35294118,91.89473684,46,66.52941176,55.64705882,54.73684211,46.26315789,73.52631579,78.17647059,60.84210526,55.82352941,84.23529412,64.23529412,54.41176471,59.23529412,47.64705882,38.35294118,55.17647059,51.52941176,62.88235294,53.41176471,81.70588235,75.64705882,87.35294118,64.35294118
Offer condolences,69.89473684,59,83.94736842,49.78947368,31.25,64.5625,83.21052632,47.0625,70.84210526,51.78947368,33.89473684,56.36842105,68.5625,59.84210526,54.52631579,53.10526316,40.5625,48.21052632,69.52631579,57.68421053,47.9375,38.0625,35.375,49.42105263,38.8125,83.84210526,59.52631579,53.73684211,44.94736842,57.10526316,80.15789474,52.47368421,43.15789474,40.52631579,49.52631579,41.21052632,51.73684211,61.21052632,59.05263158,47.57894737
Offer seat to the elderly,67.93333333,75.58823529,84.06666667,44.46666667,34.57894737,49.15789474,78.8,51.89473684,69.33333333,46.13333333,33.26666667,64.26666667,63.15789474,42.46666667,32.86666667,65.8,54.10526316,67.06666667,78.6,46.4,44.42105263,33.78947368,43.47368421,60.26666667,50.52631579,79.6,78.13333333,59.93333333,44.33333333,58.8,67.33333333,48.53333333,31.2,65.26666667,41.8,39,47.46666667,66.13333333,51.93333333,45.6
Oppose discrimination,77.17647059,64.17647059,77,63.82352941,67.83333333,47.83333333,73.23529412,79,69.35294118,51.47058824,72.88235294,82.11764706,64.66666667,50.64705882,48.17647059,77.88235294,71.83333333,65.88235294,80.47058824,67.35294118,55.41666667,54.25,48.5,74,53.58333333,84.41176471,86.29411765,61.17647059,52.23529412,73.17647059,76.17647059,54.35294118,46.41176471,67.58823529,58.35294118,41.05882353,57.58823529,85.82352941,70,49.05882353
Pay attention in class,37.41666667,60.47058824,45.58333333,46.5,42.76923077,52.23076923,42.91666667,43.38461538,39.16666667,45.91666667,41.91666667,37.75,33.07692308,53.41666667,39,41.33333333,47.30769231,75.41666667,61.91666667,48.08333333,39.92307692,67.46153846,75.53846154,47.66666667,64.69230769,38.66666667,65.33333333,49.41666667,43.41666667,35.08333333,50.75,49.5,40.91666667,61.25,53.33333333,34.5,81.75,66.83333333,48.25,40.66666667
Persevere,30,66.47058824,39,76.61111111,59.6,31.93333333,43.88888889,42.46666667,36.33333333,41.22222222,32.27777778,42.72222222,39.06666667,48.88888889,39.22222222,41.77777778,45.73333333,55.72222222,47.38888889,66.5,57.53333333,78.33333333,85.26666667,47.72222222,69.46666667,44.22222222,72.05555556,51.44444444,38.38888889,38.72222222,37.94444444,40.44444444,42.27777778,61.5,55.66666667,31.5,85.72222222,68.5,46.22222222,41
Practice self-discipline,29.5625,60.35294118,34.875,65.6875,38.29411765,49.35294118,41.0625,33.17647059,41.5,52.5625,35.625,42.6875,34.29411765,41.0625,37.875,44.5625,54,38.125,45.625,44,34.17647059,81,87,40.5625,85.29411765,36.9375,63,44.125,34.625,31.25,39,38.5,36.9375,44.0625,55.1875,37.0625,91.75,57.5625,62.9375,34.25
Praise others' strength,64.66666667,68.58823529,62.26666667,44.66666667,42.38461538,42.92307692,77.4,43.53846154,53.93333333,45.13333333,37.86666667,39,52.30769231,39.33333333,31.2,50.8,40.30769231,60.06666667,52.8,39.33333333,40.23076923,38.84615385,46.15384615,38.66666667,50.69230769,69.4,50.8,50.93333333,36.2,39.26666667,71.2,53,37.86666667,62.26666667,32.8,32.4,42,46.53333333,35.66666667,32.93333333
Pray for family's health,53.72222222,73.70588235,84.33333333,54.16666667,28.5625,42.875,67.16666667,44.1875,57.22222222,47.38888889,34.11111111,49.22222222,76,45.55555556,37.88888889,52.38888889,43.375,60.11111111,52.16666667,45,61.5,32.375,38.1875,42.33333333,36.9375,75.94444444,60.55555556,54.27777778,44.11111111,58.72222222,62.11111111,41.05555556,33.33333333,66.33333333,32.27777778,40.05555556,41.22222222,56.05555556,41.77777778,40.33333333
Pray to God,45.5,43.29411765,53.25,47.15,23.8,18.46666667,54.2,25,53.45,53.4,38.9,47.1,26.73333333,56.8,45.6,49.8,22.33333333,62.45,57.5,39.8,80.2,17.4,35.73333333,38.05,27.66666667,55.05,45.9,46,50.35,45.2,51.2,46.2,44.65,56.4,46.25,45.1,54.65,54.25,48.4,45.9
Preserve national secret,68.58823529,80.47058824,48.70588235,58.11764706,46.38461538,96.15384615,66.76470588,55.92307692,56.52941176,68.41176471,39.94117647,67.47058824,72.53846154,91.23529412,50.52941176,74.35294118,91.38461538,63.11764706,61.82352941,56.70588235,60.84615385,37,72.69230769,78.70588235,70.30769231,54.58823529,83.11764706,78.41176471,52.94117647,58.05882353,50.23529412,39.11764706,51.58823529,61.23529412,61.47058824,36.76470588,61.41176471,66.11764706,78,59.52941176
